"Current_year_Rank","Game","Total_Earnings","Total_Players","Total_Tournaments","Year"
70,"Skullgirls 2nd Encore","$20,270.00","16 Players","3 Tournaments",2024
71,"ZeroSpace","$20,000.00","11 Players","2 Tournaments",2024
72,"Dragon Ball FighterZ","$16,146.39","36 Players","8 Tournaments",2024
73,"Assetto Corsa Competizione","$14,056.35","84 Players","6 Tournaments",2024
74,"Deadlock","$12,610.00","27 Players","4 Tournaments",2024
75,"Quake Champions","$8,893.01","47 Players","7 Tournaments",2024
76,"Ultimate Marvel vs. Capcom 3","$6,410.14","21 Players","7 Tournaments",2024
77,"After-H","$4,600.00","13 Players","1 Tournament",2024
78,"Melty Blood: Type Lumina","$4,482.64","22 Players","7 Tournaments",2024
79,"BlazBlue: Central Fiction","$3,924.47","20 Players","4 Tournaments",2024
80,"Guilty Gear Xrd REV 2","$3,470.00","14 Players","3 Tournaments",2024
81,"Guilty Gear XX Accent Core Plus R","$3,400.21","16 Players","4 Tournaments",2024
82,"Pokémon TCG Pocket","$3,006.44","137 Players","43 Tournaments",2024
83,"Age of Empires III","$2,940.47","15 Players","8 Tournaments",2024
84,"Super Smash Bros. for Wii U","$2,000.00","8 Players","1 Tournament",2024
85,"GOALS","$1,841.26","4 Players","1 Tournament",2024
86,"Super Street Fighter II Turbo","$1,711.00","14 Players","3 Tournaments",2024
87,"RaceRoom Racing Experience","$1,581.30","10 Players","1 Tournament",2024
88,"Melty Blood: Actress Again Current Code","$1,507.51","8 Players","1 Tournament",2024
89,"Samurai Shodown (2019)","$1,385.00","5 Players","2 Tournaments",2024
90,"Vampire Savior","$1,220.00","9 Players","2 Tournaments",2024
91,"Capcom vs. SNK 2","$990.00","4 Players","2 Tournaments",2024
92,"Tibia","$952.94","1 Player","1 Tournament",2024
93,"Age of Empires Online","$951.42","17 Players","16 Tournaments",2024
94,"Persona 4 Arena Ultimax","$870.00","8 Players","1 Tournament",2024
95,"TrackMania Nations Forever","$857.59","3 Players","1 Tournament",2024
96,"BlazBlue: Cross Tag Battle","$810.00","8 Players","1 Tournament",2024
97,"Guilty Gear Xrd -SIGN-","$620.00","3 Players","1 Tournament",2024
98,"TrackMania 2: Canyon","$578.44","3 Players","1 Tournament",2024
99,"DNF Duel","$550.00","3 Players","1 Tournament",2024
100,"Street Fighter Alpha 2","$380.00","3 Players","1 Tournament",2024
101,"Call of Duty: Modern Warfare 3","$225.90","8 Players","4 Tournaments",2024
102,"Power Rangers: Battle for the Grid","$200.00","3 Players","1 Tournament",2024
103,"Idol Showdown","$188.00","3 Players","1 Tournament",2024
104,"ARMS","$185.00","5 Players","2 Tournaments",2024
